iter	Passed	Remaining
409	3919	10420
410	3928	10409
411	3937	10397
412	3945	10384
413	3955	10376
414	3964	10364
415	3973	10352
416	3981	10341
417	3996	10344
418	4005	10334
419	4020	10338
420	4034	10340
421	4049	10344
422	4059	10335
423	4068	10325
424	4078	10316
425	4089	10309
426	4100	10305
427	4111	10298
428	4120	10288
429	4132	10282
430	4142	10273
431	4150	10261
432	4160	10251
433	4168	10239
434	4178	10230
435	4187	10219
436	4196	10206
437	4204	10194
438	4214	10184
439	4223	10174
440	4233	10165
441	4243	10157
442	4255	10153
443	4264	10143
444	4276	10139
445	4289	10136
446	4298	10126
447	4312	10126
448	4325	10124
449	4339	10124
450	4351	10122
451	4361	10113
452	4372	10105
453	4382	10096
454	4392	10089
455	4403	10082
456	4414	10074
457	4423	10065
458	4434	10056
459	4444	10047
460	4455	10041
461	4465	10033
462	4478	10031
463	4488	10021
464	4500	10016
465	4511	10010
466	4523	10004
467	4531	9993
468	4541	9982
469	4550	9972
470	4560	9962
471	4569	9952
472	4580	9945
473	4591	9938
474	4601	9929
475	4610	9918
476	4620	9910
477	4631	9903
478	4642	9894
479	4651	9884
480	4659	9872
481	4668	9860
482	4677	9849
483	4686	9837
484	4695	9827
485	4703	9812
486	4713	9803
487	4721	9791
488	4729	9778
489	4738	9766
490	4746	9754
491	4755	9742
492	4764	9731
493	4772	9719
494	4780	9706
495	4790	9696
496	4798	9684
497	4807	9672
498	4816	9661
499	4824	9649
500	4833	9637
501	4841	9625
502	4850	9614
503	4859	9603
504	4868	9592
505	4876	9580
506	4885	9568
507	4893	9556
508	4902	9544
509	4910	9532
510	4919	9521
511	4928	9509
512	4937	9499
513	4946	9488
514	4954	9475
515	4962	9463
516	4971	9452
517	4979	9439
518	4989	9430
519	5000	9424
520	5010	9415
521	5022	9410
522	5033	9402
523	5045	9397
524	5055	9388
525	5064	9378
526	5074	9368
527	5084	9359
528	5093	9349
529	5104	9341
530	5114	9332
531	5124	9324
532	5134	9314
533	5144	9306
534	5154	9297
535	5165	9290
536	5176	9283
537	5185	9271
538	5194	9261
539	5205	9253
540	5218	9250
541	5227	9239
542	5237	9229
543	5247	9221
544	5257	9212
545	5267	9203
546	5277	9194
547	5288	9186
548	5298	9177
549	5308	9169
550	5318	9159
551	5328	9150
552	5338	9142
553	5348	9132
554	5356	9120
555	5365	9109
556	5374	9098
557	5383	9089
558	5392	9078
559	5402	9068
560	5412	9060
561	5422	9049
562	5432	9040
563	5440	9029
564	5450	9019
565	5459	9009
566	5468	8999
567	5478	8989
568	5488	8979
569	5497	8969
570	5507	8960
571	5523	8961
572	5537	8958
573	5547	8950
574	5559	8943
575	5570	8936
576	5581	8928
577	5590	8918
578	5601	8909
579	5612	8903
580	5621	8891
581	5631	8882
582	5642	8874
583	5650	8862
584	5659	8851
585	5668	8840
586	5676	8829
587	5685	8819
588	5695	8809
589	5703	8797
590	5713	8787
591	5722	8776
592	5730	8765
593	5739	8753
594	5748	8744
595	5758	8734
596	5770	8728
597	5782	8722
598	5792	8712
599	5802	8704
600	5816	8700
601	5826	8690
602	5838	8685
603	5848	8676
604	5859	8668
605	5869	8658
606	5878	8648
607	5892	8645
608	5905	8640
609	5917	8633
610	5927	8623
611	5935	8612
612	5945	8603
613	5956	8594
614	5966	8585
615	5975	8575
616	5985	8565
617	5995	8556
618	6004	8545
619	6013	8535
620	6024	8527
621	6033	8516
622	6043	8507
623	6053	8498
624	6064	8490
625	6078	8486
626	6088	8477
627	6099	8468
628	6109	8460
629	6120	8452
630	6131	8444
631	6143	8437
632	6153	8428
633	6166	8422
634	6176	8414
635	6187	8405
636	6197	8395
637	6207	8386
638	6216	8376
639	6227	8368
640	6240	8362
641	6250	8353
642	6260	8344
643	6270	8334
644	6281	8326
645	6293	8319
646	6305	8313
647	6315	8304
648	6324	8292
649	6334	8283
650	6343	8272
651	6353	8263
652	6363	8254
653	6378	8251
654	6390	8244
655	6401	8235
656	6410	8225
657	6422	8218
658	6432	8208
659	6441	8198
660	6450	8187
661	6460	8178
662	6470	8168
663	6481	8160
664	6491	8150
665	6500	8140
666	6509	8129
667	6518	8118
668	6528	8108
669	6538	8099
670	6548	8090
671	6557	8080
672	6567	8070
673	6577	8060
674	6586	8050
675	6596	8040
676	6605	8030
677	6615	8019
678	6624	8010
679	6633	7999
680	6643	7989
681	6652	7979
682	6661	7967
683	6669	7956
684	6678	7946
685	6688	7935
686	6699	7928
687	6708	7917
688	6718	7908
689	6728	7898
690	6738	7888
691	6747	7878
692	6756	7867
693	6765	7856
694	6774	7846
695	6783	7836
696	6793	7826
697	6802	7816
698	6812	7806
699	6821	7796
700	6830	7785
701	6840	7775
702	6848	7764
703	6857	7753
704	6866	7743
705	6874	7731
706	6882	7720
707	6893	7711
708	6902	7700
709	6911	7690
710	6920	7679
711	6929	7669
712	6938	7658
713	6946	7647
714	6956	7637
715	6967	7629
716	6976	7618
717	6986	7609
718	6996	7600
719	7006	7590
720	7016	7581
721	7027	7572
722	7041	7567
723	7054	7561
724	7065	7552
725	7075	7543
726	7085	7533
727	7094	7523
728	7103	7513
729	7114	7504
730	7123	7493
731	7132	7483
732	7141	7472
733	7149	7461
734	7158	7450
735	7168	7441
736	7178	7431
737	7188	7422
738	7198	7412
739	7206	7401
740	7216	7391
741	7224	7380
742	7232	7369
743	7241	7357
744	7253	7351
745	7262	7340
746	7271	7329
747	7279	7318
748	7288	7308
749	7297	7297
750	7307	7288
751	7317	7278
752	7327	7269
753	7336	7258
754	7346	7249
755	7356	7240
756	7365	7229
757	7374	7218
758	7383	7208
759	7392	7198
760	7402	7188
761	7411	7178
762	7421	7168
763	7430	7157
764	7441	7149
765	7451	7140
766	7460	7129
767	7469	7119
768	7479	7110
769	7489	7100
770	7499	7090
771	7509	7081
772	7519	7072
773	7528	7061
774	7538	7051
775	7548	7042
776	7558	7033
777	7568	7023
778	7577	7012
779	7586	7002
780	7595	6992
781	7606	6983
782	7616	6974
783	7625	6963
784	7634	6953
785	7643	6943
786	7651	6932
787	7661	6923
788	7670	6912
789	7680	6902
790	7688	6891
791	7698	6881
792	7712	6876
793	7724	6868
794	7733	6857
795	7744	6849
796	7753	6838
797	7762	6828
798	7773	6819
799	7782	6809
800	7792	6800
801	7802	6790
802	7811	6780
803	7821	6770
804	7830	6760
805	7839	6750
806	7848	6739
807	7857	6729
808	7869	6721
809	7879	6712
810	7887	6701
811	7897	6691
812	7907	6681
813	7916	6671
814	7925	6661
815	7934	6651
816	7943	6641
817	7953	6630
818	7962	6621
819	7972	6611
820	7981	6600
821	7990	6590
822	8000	6581
823	8009	6571
824	8019	6561
825	8027	6550
826	8036	6540
827	8045	6529
828	8053	6518
829	8061	6507
830	8070	6497
831	8079	6486
832	8087	6476
833	8097	6466
834	8106	6455
835	8114	6445
836	8123	6434
837	8131	6423
838	8141	6413
839	8150	6403
840	8160	6394
841	8169	6384
842	8178	6373
843	8187	6363
844	8198	6354
845	8208	6345
846	8218	6335
847	8227	6326
848	8238	6317
849	8248	6307
850	8257	6297
851	8267	6287
852	8277	6278
853	8285	6267
854	8294	6257
855	8303	6247
856	8313	6237
857	8323	6228
858	8334	6219
859	8345	6210
860	8354	6200
861	8364	6190
862	8374	6181
863	8382	6170
864	8392	6160
865	8402	6151
866	8412	6141
867	8420	6131
868	8429	6121
869	8438	6110
870	8448	6101
871	8457	6091
872	8466	6080
873	8476	6071
874	8486	6061
875	8494	6050
876	8504	6041
877	8514	6032
878	8523	6021
879	8532	6011
880	8541	6001
881	8550	5991
882	8559	5980
883	8570	5972
884	8579	5962
885	8590	5952
886	8599	5942
887	8608	5932
888	8618	5923
889	8626	5912
890	8636	5902
891	8645	5893
892	8655	5883
893	8664	5873
894	8674	5863
895	8684	5853
896	8692	5843
897	8702	5833
898	8711	5823
899	8722	5814
900	8731	5804
901	8739	5794
902	8748	5784
903	8757	5773
904	8765	5763
905	8774	5752
906	8782	5741
907	8789	5730
908	8799	5720
909	8808	5711
910	8818	5701
911	8828	5691
912	8837	5682
913	8846	5671
914	8855	5661
915	8863	5650
916	8871	5640
917	8880	5630
918	8889	5620
919	8897	5609
920	8906	5599
921	8915	5589
922	8924	5579
923	8933	5568
924	8941	5558
925	8950	5548
926	8958	5537
927	8967	5527
928	8976	5517
929	8985	5507
930	8994	5497
931	9003	5487
932	9012	5477
933	9021	5467
9936	9038	54309937	9051	54229938	9062	54149939	9073	54059940	9083	53969941	9094	53879942	9104	53779943	9114	53689944	9124	5359
945	9134	53499946	9143	53399947	9153	53309948	9164	53209949	9177	5313
950	9193	5307
951	9209	5301
952	9221	5292
953	9234	5285
954	9254	5281
955	9271	5275
956	9303	5278
957	9324	5275
958	9342	5270
959	9361	5265
960	9385	5264
961	9399	5256
962	9413	5249
963	9426	5241
964	9442	5234
965	9454	5226
966	9464	5216
967	9477	5208
968	9488	5199
969	9498	5190
970	9510	5181
971	9524	5173
972	9534	5164
973	9542	5153
974	9559	5147
975	9574	5140
976	9593	5135
977	9613	5131
978	9637	5129
979	9650	5120
980	9668	5115
981	9700	5117
982	9747	5126
983	9763	5120
984	9777	5112
985	9794	5106
986	9825	5107
987	9843	5101
988	9854	5091
989	9873	5086
990	9890	5080
991	9910	5075
992	9925	5067
993	9939	5059
994	9953	5051
995	9971	5045
996	9986	5038
997	9999	5029
998	10011	5020
999	10021	5010
1000	10032	5001
1001	10043	4991
1002	10051	4980
1003	10063	4971
1004	10076	4963
1005	10089	4954
1006	10100	4944
1007	10112	4936
1008	10124	4926
1009	10139	4919
1010	10154	4911
1011	10165	4901
1012	10179	4893
1013	10189	4883
1014	10197	4872
1015	10206	4862
1016	10223	4855
1017	10240	4848
1018	10253	4839
1019	10274	4834
1020	10308	4836
1021	10350	4841
1022	10378	4839
1023	10390	4830
1024	10398	4818
1025	10406	4807
1026	10414	4796
1027	10421	4784
1028	10429	4773
1029	10437	4762
1030	10444	4751
1031	10452	4740
1032	10461	4729
1033	10469	4718
1034	10477	4707
1035	10486	4696
1036	10495	4685
1037	10503	4674
1038	10511	4663
1039	10518	4652
1040	10525	4640
1041	10533	4630
1042	10542	4619
1043	10549	4607
1044	10557	4596
1045	10566	4586
1046	10574	4575
1047	10582	4564
1048	10590	4553
1049	10599	4542
1050	10606	4531
1051	10615	4520
1052	10625	4510
1053	10633	4499
101058	10621	442101059	10638	4415
1060	10649	4406
1061	10663	4397
1062	10679	4390
1063	10690	4380
1064	10702	4371
1065	10711	4360
1066	10719	4350
1067	10729	4339
1068	10738	4329
1069	10749	4319
1070	10758	4309
1071	10768	4299
1072	10778	4289
1073	10787	4278
1074	10796	4268
1075	10810	4259
1076	10823	4250
1077	10838	4242
1078	10852	4234
1079	10865	4225
1080	10876	4215
1081	10889	4206
1082	10898	4196
1083	10909	4186
1084	10920	4176
1085	10931	4167
1086	10940	4156
1087	10953	4147
1088	10964	4137
1089	10980	4130
1090	10991	4120
1091	11001	4110
1092	11013	4101
1093	11023	4090
1094	11032	4080
1095	11042	4070
1096	11051	4060
1097	11061	4049
1098	11069	4039
1099	11080	4029
1100	11091	4019
1101	11099	4008
1102	11109	3998
1103	11118	3988
1104	11127	3977
1105	11136	3967
1106	11145	3956
1107	11154	3946
1108	11164	3936
1109	11173	3925
1110	11191	3918
1111	11201	3908
1112	11211	3898
1113	11221	3888
1114	11229	3877
1115	11239	3867
1116	11249	3857
1117	11258	3846
1118	11266	3835
1119	11275	3825
1120	11283	3814
1121	11293	3804
1122	11302	3794
1123	11313	3784
1124	11321	3773
1125	11331	3763
1126	11340	3753
1127	11349	3743
1128	11359	3732
1129	11368	3722
1130	11378	3712
1131	11387	3702
1132	11396	3691
1133	11405	3681
1134	11414	3670
1135	11423	3660
1136	11435	3650
1137	11446	3641
1138	11463	3633
1139	11476	3624
1140	11486	3614
1141	11496	3604
1142	11505	3593
1143	11516	3583
1144	11524	3573
1145	11533	3562
1146	11542	3552
1147	11553	3542
1148	11563	3532
1149	11575	3523
1150	11586	3513
1151	11600	3504
1152	11611	3494
1153	11625	3485
1154	11637	3476
1155	11650	3466
1156	11663	3457
1157	11676	3448
1158	11686	3438
1159	11695	3427
1160	11704	3417
1161	11713	3407
1162	11723	3397
1163	11734	3387
1164	11744	3377
1165	11755	3367
1166	11768	3358
1167	11777	3347
1168	11786	3337
1169	11795	3326
1170	11804	3316
1171	11812	3306
1172	11821	3295
1173	11831	3285
1174	11839	3274
1175	11848	3264
1176	11857	3253
1177	11868	3244
1178	11878	3234
1179	11887	3223
1180	11896	3213
1181	11905	3202
1182	11914	3192
1183	11923	3182
1184	11933	3172
1185	11941	3161
1186	11950	3151
1187	11959	3140
1188	11968	3130
1189	11978	3120
1190	11987	3110
1191	11998	3100
1192	12007	3089
1193	12015	3079
1194	12024	3068
1195	12033	3058
1196	12043	3048
1197	12053	3038
1198	12061	3028
1199	12071	3017
1200	12081	3007
1201	12090	2997
1202	12098	2986
1203	12107	2976
1204	12116	2966
1205	12124	2955
1206	12134	2945
1207	12143	2935
1208	12151	2924
1209	12159	2914
1210	12168	2903
1211	12177	2893
1212	12190	2884
1213	12200	2874
1214	12209	2864
1215	12219	2853
1216	12227	2843
1217	12235	2832
1218	12244	2822
1219	12253	2812
1220	12262	2802
1221	12272	2791
1222	12282	2781
1223	12296	2772
1224	12310	2763
1225	12324	2754
1226	12337	2744
1227	12349	2735
1228	12360	2725
1229	12369	2715
1230	12380	2705
1231	12392	2695
1232	12400	2685
1233	12410	2675
1234	12419	2664
1235	12430	2654
1236	12439	2644
1237	12448	2634
1238	12458	2624
1239	12467	2614
1240	12476	2603
1241	12484	2593
1242	12493	2583
1243	12501	2572
1244	12510	2562
1245	12518	2551
1246	12528	2541
1247	12537	2531
1248	12545	2521
1249	12553	2510
1250	12561	2500
1251	12571	2490
1252	12581	2480
1253	12590	2469
1254	12600	2459
1255	12608	2449
1256	12617	2439
1257	12628	2429
1258	12636	2418
1259	12648	2409
1260	12657	2399
1261	12666	2388
1262	12675	2378
1263	12684	2368
1264	12694	2358
1265	12706	2348
1266	12718	2339
1267	12728	2328
1268	12737	2318
1269	12747	2308
1270	12761	2299
1271	12772	2289
1272	12786	2280
1273	12796	2270
1274	12809	2260
1275	12818	2250
1276	12830	2240
1277	12841	2230
1278	12851	2220
1279	12870	2212
1280	12882	2202
1281	12891	2192
1282	12903	2182
1283	12915	2172
1284	12926	2162
1285	12937	2152
1286	12948	2143
1287	12962	2133
1288	12973	2123
1289	12983	2113
1290	13003	2105
1291	13014	2095
1292	13027	2085
1293	13037	2075
1294	13046	2065
1295	13056	2055
1296	13068	2045
1297	13081	2035
1298	13094	2026
1299	13102	2015
1300	13114	2005
1301	13127	1996
1302	13139	1986
1303	13150	1976
1304	13159	1966
1305	13173	1956
1306	13190	1947
1307	13199	1937
1308	13208	1927
1309	13223	1917
1310	13235	1908
1311	13246	1898
1312	13258	1888
1313	13266	1877
1314	13276	1867
1315	13289	1858
1316	13300	1848
1317	13311	1838
1318	13324	1828
1319	13338	1818
1320	13347	1808
1321	13357	1798
1322	13369	1788
1323	13384	1779
1324	13395	1769
1325	13405	1759
1326	13417	1749
1327	13427	1739
1328	13441	1729
1329	13454	1719
1330	13463	1709
1331	13476	1699
1332	13488	1689
1333	13507	1680
1334	13523	1671
1335	13539	1662
1336	13549	1651
1337	13561	1642
1338	13569	1631
1339	13579	1621
1340	13591	1611
1341	13602	1601
1342	13615	1591
1343	13627	1581
1344	13637	1571
1345	13647	1561
1346	13659	1551
1347	13670	1541
1348	13681	1531
1349	13694	1521
1350	13709	1512
1351	13720	1501
1352	13731	1491
1353	13743	1481
1354	13755	1471
1355	13767	1462
1356	13780	1452
1357	13792	1442
1358	13805	1432
1359	13813	1422
1360	13824	1411
1361	13839	1402
1362	13851	1392
1363	13864	1382
1364	13878	1372
1365	13907	1364
1366	13929	1355
1367	13945	1345
1368	13965	1336
1369	13990	1327
1370	14027	1319
1371	14047	1310
1372	14059	1300
1373	14073	1290
1374	14087	1280
1375	14102	1270
1376	14118	1261
1377	14133	1251
1378	14158	1242
1379	14169	1232
1380	14185	1222
1381	14198	1212
1382	14208	1202
1383	14218	1191
1384	14236	1182
1385	14255	1172
1386	14267	1162
1387	14279	1152
1388	14292	1142
1389	14302	1131
1390	14319	1122
1391	14335	1112
1392	14351	1102
1393	14361	1092
1394	14370	1081
1395	14380	1071
1396	14391	1061
1397	14399	1050
1398	14406	1040
1399	14416	1029
1400	14425	1019
1401	14433	1008
1402	14442	998
1403	14450	988
1404	14458	977
1405	14466	967
1406	14474	956
1407	14483	946
1408	14490	935
1409	14497	925
1410	14506	914
1411	14513	904
1412	14522	894
1413	14529	883
1414	14537	873
1415	14545	862
1416	14552	852
1417	14560	841
1418	14567	831
1419	14575	821
1420	14582	810
1421	14590	800
1422	14597	789
1423	14604	779
1424	14612	769
1425	14619	758
1426	14627	748
1427	14635	737
1428	14643	727
1429	14651	717
1430	14658	706
1431	14666	696
1432	14673	686
1433	14680	675
1434	14688	665
1435	14695	654
1436	14703	644
1437	14711	634
1438	14718	623
1439	14727	613
1440	14736	603
1441	14744	593
1442	14752	582
1443	14761	572
1444	14769	562
1445	14776	551
1446	14783	541
1447	14792	531
1448	14800	520
1449	14807	510
1450	14815	500
1451	14823	490
1452	14832	479
1453	14840	469
1454	14847	459
1455	14854	448
1456	14860	438
1457	14867	428
1458	14874	418
1459	14881	407
1460	14888	397
1461	14895	387
1462	14901	376
1463	14908	366
1464	14915	356
1465	14922	346
1466	14928	335
1467	14935	325
1468	14942	315
1469	14948	305
1470	14955	294
1471	14962	284
1472	14968	274
1473	14975	264
1474	14981	253
1475	14988	243
1476	14995	233
1477	15001	223
1478	15008	213
1479	15015	202
1480	15021	192
1481	15027	182
1482	15034	172
1483	15042	162
1484	15048	152
1485	15055	141
1486	15061	131
1487	15067	121
1488	15073	111
1489	15079	101
1490	15085	91
1491	15092	80
1492	15098	70
1493	15104	60
1494	15110	50
1495	15116	40
1496	15122	30
1497	15128	20
1498	15134	10
1499	15140	0
	39
1496	14927	29
1497	14934	19
1498	14941	9
1499	14948	0
